"","mother_id","unique_m","unique_mm","Speed_m","Speed_mm","Temp_m","Temp_mm","Condition_m","Condition_mm","Sex_m","Sex_mm","mom_c"
"18","C199","C199_1CCfemales","C199_1CHfemales",0.00765546,0.011571056,16,16,"CC","CH","F","F","C"
"19","C21","C21_1CCfemales","C21_5CHfemales",0.008615312,0.257888116,16,16,"CC","CH","F","F","C"
"20","C32","C32_1CCfemales","C32_3CHfemales",0.006948039,0.020327003,16,16,"CC","CH","F","F","C"
"21","C44","C44_1CCfemales","C44_8CHfemales",0.051802177,0.130200016,16,16,"CC","CH","F","F","C"
"22","C51","C51_1CCfemales","C51_1CHfemales",0.013675163,0.031964419,16,16,"CC","CH","F","F","C"
"23","C71","C71_1CCfemales","C71_1CHfemales",0,0.446081778,16,16,"CC","CH","F","F","C"
"24","C76","C76_1CCfemales","C76_1CHfemales",0.173879659,0.12052969,16,16,"CC","CH","F","F","C"
"25","C85","C85_1CCfemales","C85_5CHfemales",0.025972271,0.053798419,16,16,"CC","CH","F","F","C"
"26","C93","C93_1CCfemales","C93_2CHfemales",0.009800135,0.138299851,16,16,"CC","CH","F","F","C"
"27","H105","H105_6HHfemales","H105_1HCfemales",0.006431447,0.004465286,16,16,"HH","HC","F","F","H"
"28","H124","H124_2HHfemales","H124_1HCfemales",0.002768996,0.297927353,16,16,"HH","HC","F","F","H"
"29","H129","H129_1HHfemales","H129_1HCfemales",0.001859171,0.059983256,16,16,"HH","HC","F","F","H"
"30","H13","H13_6HHfemales","H13_1HCfemales",0.100656848,0.093048105,16,16,"HH","HC","F","F","H"
"31","H132","H132_1HHfemales","H132_1HCfemales",0.318690934,0.002607562,16,16,"HH","HC","F","F","H"
"32","H134","H134_3HHfemales","H134_1HCfemales",0.08076475,0.023763985,16,16,"HH","HC","F","F","H"
"33","H155","H155_1HHfemales","H155_1HCfemales",0.00258904,0.163740725,16,16,"HH","HC","F","F","H"
"34","H161","H161_9HHfemales","H161_1HCfemales",0.005510046,0.011727513,16,16,"HH","HC","F","F","H"
"35","H166","H166_1HHfemales","H166_1HCfemales",0.249870843,0.024119948,16,16,"HH","HC","F","F","H"
"36","H180","H180_4HHfemales","H180_1HCfemales",0,0.131811841,16,16,"HH","HC","F","F","H"
"37","H190","H190_2HHmales","H190_1HCfemales",0.016613977,0.46458151,16,16,"HH","HC","M","F","H"
"38","H25","H25_2HHfemales","H25_1HCfemales",0.366513504,0.190922894,16,16,"HH","HC","F","F","H"
"39","H32","H32_4HHfemales","H32_1HCfemales",0,0.036934187,16,16,"HH","HC","F","F","H"
"40","H42","H42_1HHfemales","H42_1HCfemales",0.002386269,0,16,16,"HH","HC","F","F","H"
"41","H50","H50_3HHfemales","H50_1HCfemales",0,0.16218242,16,16,"HH","HC","F","F","H"
"42","H51","H51_5HHfemales","H51_1HCfemales",0.007985658,0.067554421,16,16,"HH","HC","F","F","H"
"43","H55","H55_3HHfemales","H55_1HCfemales",0.016763932,0.189642206,16,16,"HH","HC","F","F","H"
"44","H83","H83_1HHfemales","H83_1HCfemales",0.007659713,0.061339105,16,16,"HH","HC","F","F","H"
