"video","phase","phase_type","pole_location","safe_location","start_position","time_to_start_moving","time_in_pole_initial","time_in_safe_initial","time_in_safe_total","time_outside_safe_after_reaching","time_to_safe","start_in_pole","first_to_safe","first_to_closest","dist_to_safe","speed_to_safe","previously_safe_first","dead_fly"
"OT_OR_1",8,"trial","M","left","pole",0.33,3,57,57,0,3,1,1,0,9.71290043925977,0.0312512884146067,1,0
"OT_OR_1",10,"trial","M","right","pole",0.5,2.03,51.7,51.7,0,8.3,1,0,0,16.8557118844139,0.0196024002005093,1,0
"OT_OR_1",12,"trial","M","right","pole",0.3,0.87,59.13,59.13,0,0.87,1,1,1,5.46638671050549,0.0608819428701978,1,0
"OT_OR_1",14,"trial","M","right","pole",4.03,2.27,0.13,56.77,0.97,2.27,1,1,1,4.14400041700457,0.0176470605993267,1,0
"OT_OR_1",16,"trial","M","left","pole",0.77,1.9,58.1,58.1,0,1.9,1,1,0,6.51684656014385,0.0331073285924805,0,0
"OT_OR_1",18,"trial","M","right","pole",5.27,5.3,54.7,54.7,0,5.3,1,1,1,1.5940513013006,0.0029031312400754,0,0
"OT_OR_1",20,"trial","M","left","pole",2.7,4,20.83,55.27,0.73,4,1,1,0,8.70093080663658,0.0209964546492195,0,0
"OT_OR_1",22,"trial","M","right","pole",2.33,3.57,53.7,53.7,0,6.3,1,0,1,9.60467098236422,0.0147157427565794,1,0
"OT_OR_1",24,"trial","M","left","pole",2.13,3.4,56.6,56.6,0,3.4,1,1,0,4.82163398886735,0.0136884907701208,0,0
"OT_OR_1",26,"trial","M","right","unsafe",NA,0,NA,NA,NA,NA,0,NA,NA,NA,NA,NA,0
"OT_OR_1",28,"trial","M","left","pole",2.4,3.43,56.53,56.53,0,3.43,1,1,0,6.47295652675215,0.01819813845284,0,0
"OT_OR_1",30,"trial","M","right","pole",2.9,3.47,52.8,52.8,0,7.2,1,0,0,10.3241937744396,0.0138408861197443,1,0
"OT_OR_1",32,"trial","M","right","pole",1.63,2.13,0.7,53.97,3.9,2.13,1,1,1,11.7002028652917,0.0529389005126012,1,0
"OT_OR_1",34,"trial","M","right","pole",2.77,4.77,15.87,47.27,3.73,9,1,0,0,17.3331388464378,0.0185898100026146,0,0
"OT_OR_1",36,"trial","M","left","pole",2.53,6.07,53.93,53.93,0,6.07,1,1,0,7.45575062609265,0.0118626436623732,0,0
"OT_OR_1",38,"trial","M","right","pole",5.97,6.03,53.97,53.97,0,6.03,1,1,1,3.02302015356767,0.00483641953790771,0,0
"OT_OR_1",40,"trial","M","left","pole",2.23,3.97,56.03,56.03,0,3.97,1,1,0,4.79460283913611,0.0116672143322802,0,0
"OT_OR_1",42,"trial","M","right","pole",2.07,3.23,50.97,50.97,0,9.03,1,0,0,14.2686077665682,0.0152466281396318,1,0
"OT_OR_1",44,"trial","M","right","pole",6.8,6.8,53.2,53.2,0,6.8,1,1,1,3.4482594897762,0.00489475853079747,1,0
"OT_OR_1",46,"trial","M","left","pole",3,3.83,54.87,54.87,0,5.13,1,0,0,6.93390355853953,0.0130382281224105,1,0
"OT_OR_1",48,"trial","M","left","pole",2.23,2.83,0.9,53.6,0.37,6.03,1,0,1,10.3084698225197,0.0164921443863772,0,0
"OT_OR_1",50,"trial","M","right","pole",3.73,4.07,55.93,55.93,0,4.07,1,1,1,6.75424103227356,0.0160316500228026,0,0
